name,lat,lon,bench-closest,bench-near,restaurant-closest,restaurant-near,bicycle_parking-closest,bicycle_parking-near,fast_food-closest,fast_food-near,waste_basket-closest,waste_basket-near,cafe-closest,cafe-near,post_box-closest,post_box-near,toilets-closest,toilets-near,bank-closest,bank-near,drinking_water-closest,drinking_water-near,pharmacy-closest,pharmacy-near,parking-closest,parking-near,parking_entrance-closest,parking_entrance-near,dentist-closest,dentist-near,fuel-closest,fuel-near,bicycle_rental-closest,bicycle_rental-near,pub-closest,pub-near,post_office-closest,post_office-near,bar-closest,bar-near,recycling-closest,recycling-near,vending_machine-closest,vending_machine-near,car_sharing-closest,car_sharing-near,clinic-closest,clinic-near,place_of_worship-closest,place_of_worship-near,atm-closest,atm-near,waste_disposal-closest,waste_disposal-near,ice_cream-closest,ice_cream-near,library-closest,library-near,charging_station-closest,charging_station-near,fountain-closest,fountain-near,theatre-closest,theatre-near,car_rental-closest,car_rental-near,score
Econo Lodge Maple Ridge,49.2173687,-122.6200084,1.04593353683497,0,0.087708795641391,1,1.06661382988067,0,0.97864331082333,0,1.05407649229859,0,1.0621698599606402,0,0.905908701379879,0,1.05666829275662,0,2.05813618434596,0,1.05359718143596,0,0.998247597457889,0,4.456346632135269,0,1.4303521945622502,0,6.09841071112413,0,0.19507308413006696,2,32.653744897157395,0,5.0866162648173,0,1.4750672697562301,0,1.3634763563463899,0,12.056038669136901,0,2.78176387083615,0,14.5744797289195,0,2.00501465178255,0,0.9576102781854731,0,5.861051698309571,0,5.69605243293064,0,6.0924483732047,0,1.4847756876477,0,1.3783431587313,0,8.51657154432149,0,6.01656709392519,0,5.76164922985816,0,3.3
Hyatt Regency Vancouver,49.2851852,-123.12063859999999,0.057608733134695,23,0.062006958946708005,83,0.06522837194565,67,0.036670588477772006,35,0.032232744229863,49,0.016723592996726003,60,0.024555092303006003,32,0.257988884771387,3,0.054609739471415,18,0.085957355385328,3,0.126147958544607,7,0.230655038886632,4,0.37429577271914793,2,0.376125193883021,1,1.05880510480813,0,0.071528343293787,13,0.155814958019672,6,0.165049102555446,5,0.021476003941166,4,0.5886679457293841,0,0.573716119102127,0,0.36811494121471,5,0.517157747027705,0,0.655305737595829,0,0.14360460972484,4,1.14314815966522,0,0.301247933392201,3,1.2974556190737399,0,0.38426192684762894,1,0.06328709135142101,2,0.532468480496238,0,0.2286241608199,2,4.4
Element Vancouver Metrotown,49.230368299999995,-123.0041598,0.12062381522510002,21,0.023914321423073998,38,0.394922703587099,5,0.117272484823798,32,0.251648026678177,1,0.14723780334902498,14,0.14455426942347,6,0.182801371000858,2,0.062296466740793,6,0.767063981110726,0,0.121688550432443,4,0.338334482533374,2,0.218093401017037,3,0.09005297834215499,6,0.140982469594458,1,5.34679228444408,0,0.775968297920162,0,0.130387598340717,3,0.11135103759903699,15,1.1633412866761599,0,0.400267733711211,3,5.811699607750599,0,0.160822566005594,4,0.795651488992241,0,0.077585457693398,2,0.40405767620429905,3,0.188442330118182,1,2.12931138435373,0,1.78859503927303,0,0.130711377199657,1,2.10751775904719,0,0.176879965558713,1,4.4
English Bay Hotel,49.2877619,-123.14077920000001,0.025190783527854997,133,0.030443982836245,26,0.137009849364353,14,0.063239273903497,9,0.03608558433732299,4,0.0066334542914440004,13,0.055427344844633,13,0.07268857773405499,4,0.165260567746797,4,0.11510827499538699,11,0.21905289674039902,2,1.09289711174457,0,0.800992331739197,0,0.783860405261152,0,1.34659790092128,0,0.09967066495190302,7,0.106550746710134,1,0.22060747600025502,2,0.071482912313129,3,1.8032878422961798,0,1.41223900742401,0,0.039356540087892,4,0.866054310624825,0,0.6607204325485971,0,0.318634761421522,1,2.5986769054068,0,0.08277394610776201,1,0.432080917099116,1,0.7033211063832089,0,0.890723167066952,0,0.85922568756182,0,1.5004522583660098,0,3.8
Tropicana Suite Hotel,49.2877864,-123.1291925,0.23295907491010398,21,0.014141609871426002,60,0.065971552884635,11,0.129010459601372,10,0.06934835890263201,15,0.055213483618350004,22,0.081383105583327,28,0.500532412152921,0,0.22673136775800798,2,0.299580889133324,3,0.297506010682547,2,0.5932305162742549,0,0.07990447430319501,1,0.7233682252994279,0,1.09545650176992,0,0.14392525405143303,9,0.17577682957656302,2,0.239306503098852,3,0.04558962190755901,1,1.16915113263847,0,1.1145770309293301,0,0.09822339027575801,12,0.21179792731019198,1,0.230703868208647,1,0.318747736200719,1,1.82637521316001,0,0.13933576690079902,3,0.61393517259906,0,0.3635879065109579,1,0.30068700088189004,1,0.38506617917218394,1,0.7670853473290341,0,3.5
Travelodge by Wyndham Vancouver Lions Gate,49.325579600000005,-123.12344979999999,1.0430671958682098,0,0.07579153104668598,2,2.0224742981603,0,0.239437489757513,1,0.11772551190755601,3,0.748387359694007,0,0.232504281394483,1,1.06916864284116,0,0.741523166115247,0,1.52222012404784,0,0.9660108252518141,0,1.10749765978027,0,0.08075378061011099,1,0.767308351812263,0,1.11837446616092,0,2.9693653518796803,0,1.38919781069662,0,0.968120889214277,0,2.42571278982798,0,3.4874116976478398,0,1.3944238088940502,0,3.8195384815050097,0,2.08420197923766,0,1.1838726980249998,0,3.56270116184088,0,5.19414727345075,0,1.99302858144718,0,1.9815549300308501,0,3.72286024727507,0,3.2470504107451896,0,2.98533140153745,0,4.19872833129864,0,3.2
Times Square Suites Hotel,49.2917745,-123.135653,0.063510211895923,61,0.033869155244376,44,0.159071514673079,10,0.052397026307522,10,0.421517397601717,5,0.019809272935645002,14,0.16909821064542302,14,0.653442948993089,0,0.05838683421496701,6,0.189683683018156,7,0.36315602000532793,1,1.13396670169929,0,0.713551227918892,0,1.07371774772708,0,1.2998667551731398,0,0.07173674667119,6,0.328577795385633,1,0.32288657696817796,2,0.619187564747443,0,1.8136738091128102,0,1.7528942754869499,0,0.445066007153404,1,0.797007338927332,0,0.41983092907363706,1,0.329402086839575,1,2.4537784665624396,0,0.49807843010188296,1,0.155705114387609,1,0.7302659193963471,0,0.47215309857264504,1,0.40343483947343795,1,1.4120914302693799,0,4.6
The Listel Hotel,49.2872256,-123.1291922,0.21034024434862497,27,0.011341752682745999,56,0.014079222518054,14,0.077659715982267,9,0.042803521055304,15,0.033106912471768,21,0.041994506085103994,30,0.43983340092502204,1,0.18521852510995399,2,0.24012930299119603,4,0.25530100968221103,2,0.600795283270494,0,0.09190369902182302,1,0.670224776067313,0,1.1393363834533998,0,0.150046926569917,10,0.13821463400793899,2,0.190636859540588,3,0.038783167243569,1,1.1247061167299999,0,1.0674718610389,0,0.09349194969223801,12,0.22791941908989702,1,0.270141944549489,1,0.360367440152307,1,1.7981368158881998,0,0.088718188295682,3,0.646944060927669,0,0.41230177696239895,1,0.239919563720721,1,0.44652363938170203,1,0.726897714387847,0,4.4
The Hotel at River Rock,49.1960166,-123.12629740000001,0.104101173870968,1,0.019829026425367997,3,1.21395833860006,0,0.5571606674176999,0,0.8550394180702869,0,0.355453213824723,2,0.063329651744844,1,0.9502405937651859,0,1.24056205877652,0,0.19812102866638298,1,1.74506963806076,0,0.033164677408906,1,0.535696498321985,0,1.6510334764714198,0,0.78307021110492,0,0.37318259743237,1,0.9991615401811609,0,1.37215904608391,0,1.4820247724291,0,1.6226374858188999,0,1.44961688250918,0,3.3410453712616497,0,2.76270745568806,0,2.28501454803181,0,1.00066325319256,0,8.0322771010461,0,1.02133512773583,0,1.8849544233970201,0,3.02939965701467,0,0.9967194552974491,0,1.18202006947872,0,0.299180039538535,1,4.1
The Queens Hotel,49.1844544,-122.94983500000001,0.45564912590930395,4,0.060495751152192995,5,0.857380559148744,0,0.068076200822691,2,0.440638959530004,1,0.76315646254012,0,0.134019176959906,1,0.47014430786423,1,2.6212079565280098,0,0.5822218161305219,0,0.144873451036516,1,2.16152073029361,0,0.46684966365313296,1,0.17528334934721898,1,3.03931895435328,0,11.640626866088601,0,2.9292818003083503,0,0.714481475867765,0,0.527590995198609,0,1.19910555658866,0,3.4250633833956896,0,3.30752898466731,0,0.158454228519845,1,2.9979491509555696,0,0.4735361853113271,1,0.8618333272483321,0,2.57591776747448,0,0.492160070186764,1,3.7644796333812405,0,0.9096394394695491,0,4.35498300028965,0,4.2160134067638495,0,4.2
